record_id,case_id,ic_name,recovered_ic_name,ic_correct,feature_set,single_snapshot,k_fixed,true_rhat,true_dhat,true_alpha,true_tau,estimated_rhat,estimated_dhat,estimated_alpha,estimated_dhat_over_rhat,estimated_tau,rhat_relative_error,dhat_relative_error,alpha_relative_error,rhat_signed_relative_error,dhat_signed_relative_error,dimensions_used,estimated_length_scale_ratio,loss,loss_at_true_parameters,estimate_loss_not_above_truth,success,any_start_succeeded,coarse_rhat,coarse_dhat
case_002|One central cluster|h0h1,case_002,One central cluster,One central cluster,True,h0h1,True,1.0,0.554,8.8424e-05,0.0001596101083032491,0.554,0.554274,8.835744e-05,0.00015941112157524977,0.00015941112157524977,0.554274,0.0004945848375451199,0.0007527368135348741,0.0012467050496655769,0.0004945848375451199,-0.0007527368135348741,h0h1,0.012625811719459853,4.855315642825691e-06,0.0,False,True,True,0.55,9.6e-05
case_002|Many clusters|h0,case_002,Many clusters,Many clusters,True,h0,True,1.0,0.554,8.8424e-05,0.0001596101083032491,0.554,0.553812,8.835744e-05,0.00015954410521982189,0.00015954410521982189,0.553812,0.0003393501805055541,0.0007527368135348741,0.00041352696347910124,-0.0003393501805055541,-0.0007527368135348741,h0,0.01263107696199425,7.385141256278703e-07,0.0,False,True,True,0.55,8.8e-05
case_002|Many clusters|h0h1,case_002,Many clusters,Many clusters,True,h0h1,True,1.0,0.554,8.8424e-05,0.0001596101083032491,0.554,0.553966,8.844576000000001e-05,0.00015965918485972067,0.00015965918485972067,0.553966,6.137184115539622e-05,0.0002460870351941141,0.0003074777468249525,-6.137184115539622e-05,0.0002460870351941141,h0h1,0.012635631557612017,7.388280301659269e-08,0.0,False,True,True,0.55,8.8e-05
case_002|Clusters + singles|h0,case_002,Clusters + singles,Clusters + singles,True,h0,True,1.0,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5538890000000001,8.836848e-05,0.00015954185766462232,0.00015954185766462232,0.5538890000000001,0.00020036101083027478,0.0006278838324437697,0.00042760849768431347,-0.00020036101083027478,-0.0006278838324437697,h0,0.01263098799241858,2.817894271164706e-07,0.0,False,True,True,0.55,8.8e-05
case_002|Clusters + singles|h0h1,case_002,Clusters + singles,Clusters + singles,True,h0h1,True,1.0,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5538890000000001,8.83464e-05,0.0001595019940818467,0.0001595019940818467,0.5538890000000001,0.00020036101083027478,0.0008775897946259784,0.0006773645012319196,-0.00020036101083027478,-0.0008775897946259784,h0h1,0.012629409886524655,1.104515829310689e-06,0.0,False,True,True,0.55,8.8e-05
case_003|Random spaced|h0,case_003,Random spaced,Random spaced,True,h0,True,1.0,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44608900000000007,9.716736e-05,0.00021782056943793723,0.00021782056943793723,0.44608900000000007,0.0001995515695068638,0.0009204969200025083,0.0007208015134223675,0.0001995515695068638,0.0009204969200025083,h0,0.014758745523855922,4.111819033111448e-07,0.0,False,True,True,0.45,9.6e-05
case_003|Random spaced|h0h1,case_003,Random spaced,Random spaced,True,h0h1,True,1.0,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44585800000000003,9.707904e-05,0.0002177353327741119,0.0002177353327741119,0.44585800000000003,0.00031838565022416024,1.071303487922074e-05,0.00032920349877339615,-0.00031838565022416024,1.071303487922074e-05,h0h1,0.014755857575014469,1.146868769203866e-06,0.0,False,True,True,0.45,9.6e-05
case_003|One central cluster|h0,case_003,One central cluster,One central cluster,True,h0,True,1.0,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44639700000000004,9.714528e-05,0.00021762081734420257,0.00021762081734420257,0.44639700000000004,0.0008901345291480633,0.0006930509487216865,0.00019690830554444723,0.0008901345291480633,0.0006930509487216865,h0,0.014751976726669636,4.769204454987242e-06,0.0,False,True,True,0.45,9.6e-05
case_003|One central cluster|h0h1,case_003,One central cluster,One central cluster,True,h0h1,True,1.0,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44585800000000003,9.715632e-05,0.00021790866150209258,0.00021790866150209258,0.44585800000000003,0.00031838565022416024,0.0008067739343620973,0.001125517933345368,-0.00031838565022416024,0.0008067739343620973,h0h1,0.014761729624339167,2.5745572448096832e-06,0.0,False,True,True,0.45,9.6e-05
case_003|Many clusters|h0,case_003,Many clusters,Many clusters,True,h0,True,1.0,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44616600000000006,9.718944e-05,0.0002178324659431691,0.0002178324659431691,0.44616600000000006,0.00037219730941716366,0.0011479428912833302,0.0007754569588725992,0.00037219730941716366,0.0011479428912833302,h0,0.014759148550752143,6.898625559259737e-07,0.0,False,True,True,0.45,9.6e-05
case_003|Many clusters|h0h1,case_003,Many clusters,Many clusters,True,h0h1,True,1.0,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44624300000000006,9.70128e-05,0.0002173990404331272,0.0002173990404331272,0.44624300000000006,0.0005448430493274635,0.000671624878963245,0.0012158055051119125,0.0005448430493274635,-0.000671624878963245,h0h1,0.014744457956572267,1.9186552548908504e-06,0.0,False,True,True,0.45,9.6e-05
case_003|Clusters + singles|h0,case_003,Clusters + singles,Clusters + singles,True,h0,True,1.0,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44570400000000004,9.713424e-05,0.00021793441387108931,0.00021793441387108931,0.44570400000000004,0.00066367713004476,0.0005793279630812755,0.0012438305950456887,-0.00066367713004476,0.0005793279630812755,h0,0.0147626018665779,3.23702729903454e-06,0.0,False,True,True,0.45,9.6e-05
case_003|Clusters + singles|h0h1,case_003,Clusters + singles,Clusters + singles,True,h0h1,True,1.0,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44585800000000003,9.715632e-05,0.00021790866150209258,0.00021790866150209258,0.44585800000000003,0.00031838565022416024,0.0008067739343620973,0.001125517933345368,-0.00031838565022416024,0.0008067739343620973,h0h1,0.014761729624339167,1.1242582662847797e-06,0.0,False,True,True,0.45,9.6e-05
case_004|Random spaced|h0,case_004,Random spaced,Random spaced,True,h0,True,1.0,0.919,0.000132925,0.00014464091403699672,0.919,0.9187150000000001,0.00013259472,0.00014432628181753864,0.00014432628181753864,0.9187150000000001,0.000310119695320979,0.0024847094226066145,0.0021752643195936017,-0.000310119695320979,-0.0024847094226066145,h0,0.01201358738335634,3.64676454453724e-06,0.0,False,True,True,0.9,0.000128
case_004|Random spaced|h0h1,case_004,Random spaced,Random spaced,True,h0h1,True,1.0,0.919,0.000132925,0.00014464091403699672,0.919,0.9189460000000002,0.00013303632,0.00014477055235019248,0.00014477055235019248,0.9189460000000002,5.8759521218593545e-05,0.0008374647357533066,0.0008962769217746777,-5.8759521218593545e-05,0.0008374647357533066,h0h1,0.012032063511725347,5.239975130810269e-07,0.0,False,True,True,0.9,0.000136
case_004|One central cluster|h0,case_004,One central cluster,One central cluster,True,h0,True,1.0,0.919,0.000132925,0.00014464091403699672,0.919,0.9191770000000001,0.00013284864,0.00014452998715154967,0.00014452998715154967,0.9191770000000001,0.0001926006528836711,0.0005744592815497618,0.0007669122266378977,0.0001926006528836711,-0.0005744592815497618,h0,0.01202206251653807,2.0513353821322858e-06,0.0,False,True,True,0.9,0.000128
case_004|One central cluster|h0h1,case_004,One central cluster,One central cluster,True,h0h1,True,1.0,0.919,0.000132925,0.00014464091403699672,0.919,0.9191000000000001,0.0001330584,0.00014477031879012075,0.00014477031879012075,0.9191000000000001,0.00010881392818291622,0.0010035734436713026,0.0008946621637839473,0.00010881392818291622,0.0010035734436713026,h0h1,0.01203205380598511,1.2694489731371488e-06,0.0,False,True,True,0.95,0.000136
case_004|Many clusters|h0,case_004,Many clusters,Many clusters,True,h0,True,1.0,0.919,0.000132925,0.00014464091403699672,0.919,0.9189460000000002,0.00013295904,0.00014468645600503182,0.00014468645600503182,0.9189460000000002,5.8759521218593545e-05,0.00025608425804021843,0.0003148622804156808,-5.8759521218593545e-05,0.00025608425804021843,h0,0.01202856832732108,8.89241077208111e-08,0.0,False,True,True,0.9,0.000128
case_004|Many clusters|h0h1,case_004,Many clusters,Many clusters,True,h0h1,True,1.0,0.919,0.000132925,0.00014464091403699672,0.919,0.9187150000000001,0.00013300320000000001,0.0001447709028371149,0.0001447709028371149,0.9187150000000001,0.000310119695320979,0.0005883016738764145,0.0008987000737904822,-0.000310119695320979,0.0005883016738764145,h0h1,0.012032078076421999,1.157034859134342e-06,0.0,False,True,True,0.9,0.000136
case_004|Clusters + singles|h0,case_004,Clusters + singles,Clusters + singles,True,h0,True,1.0,0.919,0.000132925,0.00014464091403699672,0.919,0.9189460000000002,0.00013287072000000002,0.00014459034589627681,0.00014459034589627681,0.9189460000000002,5.8759521218593545e-05,0.00040835057363156193,0.0003496115954229586,-5.8759521218593545e-05,-0.00040835057363156193,h0,0.012024572586843859,1.1863338248110437e-07,0.0,False,True,True,0.9,0.000128
case_004|Clusters + singles|h0h1,case_004,Clusters + singles,Clusters + singles,True,h0h1,True,1.0,0.919,0.000132925,0.00014464091403699672,0.919,0.918869,0.00013289280000000002,0.00014462649191560495,0.00014462649191560495,0.918869,0.00014254624591946924,0.00024224186571356583,9.970983305652791e-05,-0.00014254624591946924,-0.00024224186571356583,h0h1,0.012026075499330817,6.766130569910884e-07,0.0,False,True,True,0.9,0.000136
case_005|Random spaced|h0,case_005,Random spaced,Random spaced,True,h0,True,1.0,0.593,0.000129431,0.0002182647554806071,0.593,0.592774,0.00012918336,0.00021793020611565283,0.00021793020611565283,0.592774,0.00038111298482284737,0.0019132974326089083,0.0015327686058045052,-0.00038111298482284737,-0.0019132974326089083,h0,0.014762459351871315,2.048871334827176e-06,0.0,False,True,True,0.6,0.000128
case_005|Random spaced|h0h1,case_005,Random spaced,Random spaced,True,h0h1,True,1.0,0.593,0.000129431,0.0002182647554806071,0.593,0.5930820000000001,0.00012922752,0.0002178914888666322,0.0002178914888666322,0.5930820000000001,0.00013827993254660628,0.0015721117815670463,0.001710155233963362,0.00013827993254660628,-0.0015721117815670463,h0h1,0.014761147952196407,1.7695526543160102e-06,0.0,False,True,True,0.6,0.000128
case_005|One central cluster|h0,case_005,One central cluster,One central cluster,True,h0,True,1.0,0.593,0.000129431,0.0002182647554806071,0.593,0.5933130000000001,0.00012950352,0.0002182718396529319,0.0002182718396529319,0.5933130000000001,0.0005278246205735561,0.0005602985374446965,3.245678538064178e-05,0.0005278246205735561,0.0005602985374446965,h0,0.01477402584446541,4.847053973057255e-07,0.0,False,True,True,0.6,0.000128
case_005|One central cluster|h0h1,case_005,One central cluster,One central cluster,True,h0h1,True,1.0,0.593,0.000129431,0.0002182647554806071,0.593,0.5933130000000001,0.00012950352,0.0002182718396529319,0.0002182718396529319,0.5933130000000001,0.0005278246205735561,0.0005602985374446965,3.245678538064178e-05,0.0005278246205735561,0.0005602985374446965,h0h1,0.01477402584446541,4.826846989229787e-07,0.0,False,True,True,0.6,0.000128
case_005|Many clusters|h0,case_005,Many clusters,Many clusters,True,h0,True,1.0,0.593,0.000129431,0.0002182647554806071,0.593,0.592851,0.00012954768,0.0002185164231822161,0.0002185164231822161,0.592851,0.00025126475548053074,0.0009014841884865586,0.0011530386619445065,-0.00025126475548053074,0.0009014841884865586,h0,0.01478230101108133,1.3485339592438508e-06,0.0,False,True,True,0.6,0.000128
case_005|Many clusters|h0h1,case_005,Many clusters,Many clusters,True,h0h1,True,1.0,0.593,0.000129431,0.0002182647554806071,0.593,0.5933130000000001,0.00012943728,0.00021816019537748203,0.00021816019537748203,0.5933130000000001,0.0005278246205735561,4.85200608819034e-05,0.00047905170440753375,0.0005278246205735561,4.85200608819034e-05,h0h1,0.014770246963997659,1.7869523645304158e-06,0.0,False,True,True,0.6,0.000128
case_005|Clusters + singles|h0,case_005,Clusters + singles,Clusters + singles,True,h0,True,1.0,0.593,0.000129431,0.0002182647554806071,0.593,0.592697,0.00012934896,0.00021823791920660979,0.00021823791920660979,0.592697,0.0005109612141651639,0.0006338512412018207,0.00012295285117483822,-0.0005109612141651639,-0.0006338512412018207,h0,0.014772877824127896,1.290854898735089e-06,0.0,False,True,True,0.6,0.000128
case_005|Clusters + singles|h0h1,case_005,Clusters + singles,Clusters + singles,True,h0h1,True,1.0,0.593,0.000129431,0.0002182647554806071,0.593,0.5932360000000001,0.00012950352,0.00021830017058978212,0.00021830017058978212,0.5932360000000001,0.0003979763912312395,0.0005602985374446965,0.00016225757153065637,0.0003979763912312395,0.0005602985374446965,h0h1,0.01477498462231965,1.6342452206142684e-06,0.0,False,True,True,0.6,0.000128
case_006|Random spaced|h0,case_006,Random spaced,Random spaced,True,h0,True,1.0,0.712,0.000126296,0.00017738202247191012,0.712,0.7120470000000001,0.0001262136,0.00017725459134017838,0.00017725459134017838,0.7120470000000001,6.601123595523914e-05,0.0006524355482358185,0.0007183993617612271,6.601123595523914e-05,-0.0006524355482358185,h0,0.013313699385977528,5.703571813803748e-07,0.0,False,True,True,0.7,0.00012
case_006|Random spaced|h0h1,case_006,Random spaced,Random spaced,True,h0h1,True,1.0,0.712,0.000126296,0.00017738202247191012,0.712,0.712124,0.00012634608,0.00017742146030747454,0.00017742146030747454,0.712124,0.00017415730337080477,0.00039652878951041055,0.00022233276526470384,0.00017415730337080477,0.00039652878951041055,h0h1,0.013319964726209846,9.494954325451672e-07,0.0,False,True,True,0.7,0.000128
case_006|One central cluster|h0,case_006,One central cluster,One central cluster,True,h0,True,1.0,0.712,0.000126296,0.00017738202247191012,0.712,0.711739,0.00012625776,0.0001773933422223596,0.0001773933422223596,0.711739,0.00036657303370780296,0.00030278076898707557,6.38156578200169e-05,-0.00036657303370780296,-0.00030278076898707557,h0,0.013318909197917058,5.993902394850611e-07,0.0,False,True,True,0.7,0.00012
case_006|One central cluster|h0h1,case_006,One central cluster,One central cluster,True,h0h1,True,1.0,0.712,0.000126296,0.00017738202247191012,0.712,0.711585,0.00012639024,0.00017761790931512046,0.00017761790931512046,0.711585,0.000582865168539246,0.0007461835687591536,0.0013298238452980789,-0.000582865168539246,0.0007461835687591536,h0h1,0.013327336917596121,6.098629541813233e-06,0.0,False,True,True,0.7,0.00012
case_006|Many clusters|h0,case_006,Many clusters,Many clusters,True,h0,True,1.0,0.712,0.000126296,0.00017738202247191012,0.712,0.7118930000000001,0.0001262688,0.00017737047561922927,0.00017737047561922927,0.7118930000000001,0.00015028089887620394,0.0002153670741749971,6.509595797781777e-05,-0.00015028089887620394,-0.0002153670741749971,h0,0.013318050743980113,2.0641712803703077e-07,0.0,False,True,True,0.7,0.000128
case_006|Many clusters|h0h1,case_006,Many clusters,Many clusters,True,h0h1,True,1.0,0.712,0.000126296,0.00017738202247191012,0.712,0.7118930000000001,0.00012639024,0.00017754106305301496,0.00017754106305301496,0.7118930000000001,0.00015028089887620394,0.0007461835687591536,0.0008965992093704067,-0.00015028089887620394,0.0007461835687591536,h0h1,0.013324453574275193,5.496667710267889e-07,0.0,False,True,True,0.7,0.000128
case_006|Clusters + singles|h0,case_006,Clusters + singles,Clusters + singles,True,h0,True,1.0,0.712,0.000126296,0.00017738202247191012,0.712,0.7120470000000001,0.00012623568,0.00017728560052917853,0.00017728560052917853,0.7120470000000001,6.601123595523914e-05,0.0004776081586114471,0.0005435835119472613,6.601123595523914e-05,-0.0004776081586114471,h0,0.013314863894504462,4.008419141455994e-07,0.0,False,True,True,0.7,0.00012
case_006|Clusters + singles|h0h1,case_006,Clusters + singles,Clusters + singles,True,h0h1,True,1.0,0.712,0.000126296,0.00017738202247191012,0.712,0.711739,0.0001263792,0.00017756396656639582,0.00017756396656639582,0.711739,0.00036657303370780296,0.0006587698739468605,0.0010257189085467232,-0.00036657303370780296,0.0006587698739468605,h0h1,0.013325313000691421,2.040975426766941e-06,0.0,False,True,True,0.7,0.000128
case_007|Random spaced|h0,case_007,Random spaced,Random spaced,True,h0,True,1.0,0.809,0.000106114,0.00013116687268232384,0.809,0.8090670000000001,0.00010610976,0.000131150769960955,0.000131150769960955,0.8090670000000001,8.281829419040699e-05,3.9957027347931994e-05,0.0001227651543376067,8.281829419040699e-05,-3.9957027347931994e-05,h0,0.011452107664572274,3.5148430733563916e-07,0.0,False,True,True,0.8,0.000104
case_007|Random spaced|h0h1,case_007,Random spaced,Random spaced,True,h0h1,True,1.0,0.809,0.000106114,0.00013116687268232384,0.809,0.8091440000000001,0.00010616496,0.00013120650959532541,0.00013120650959532541,0.8091440000000001,0.0001779975278121545,0.0004802382343517407,0.00030218691801531,0.0001779975278121545,0.0004802382343517407,h0h1,0.01145454100325829,1.5402776975753016e-06,0.0,False,True,True,0.8,0.000104
case_007|One central cluster|h0,case_007,One central cluster,One central cluster,True,h0,True,1.0,0.809,0.000106114,0.00013116687268232384,0.809,0.8092980000000001,0.00010615392000000001,0.00013116790106981605,0.00013116790106981605,0.8092980000000001,0.0003683559950556495,0.00037619918201193387,7.840298935128209e-06,0.0003683559950556495,0.00037619918201193387,h0,0.01145285558582732,9.370383477033993e-07,0.0,False,True,True,0.8,0.000104
case_007|One central cluster|h0h1,case_007,One central cluster,One central cluster,True,h0h1,True,1.0,0.809,0.000106114,0.00013116687268232384,0.809,0.8088360000000001,0.00010613184000000001,0.00013121552453154904,0.00013121552453154904,0.8088360000000001,0.00020271940667483554,0.0001681210773320648,0.00037091567581269366,-0.00020271940667483554,0.0001681210773320648,h0h1,0.011454934505773005,9.803788551136155e-07,0.0,False,True,True,0.8,0.000104
case_007|Many clusters|h0,case_007,Many clusters,Many clusters,True,h0,True,1.0,0.809,0.000106114,0.00013116687268232384,0.809,0.8090670000000001,0.00010619808000000001,0.00013125993273733818,0.00013125993273733818,0.8090670000000001,8.281829419040699e-05,0.0007923553913716721,0.0007094783393954346,8.281829419040699e-05,0.0007923553913716721,h0,0.011456872729385545,2.3760479834537093e-07,0.0,False,True,True,0.8,0.000104
case_007|Many clusters|h0h1,case_007,Many clusters,Many clusters,True,h0h1,True,1.0,0.809,0.000106114,0.00013116687268232384,0.809,0.8089900000000001,0.00010603248,0.00013106772642430684,0.00013106772642430684,0.8089900000000001,1.2360939431340531e-05,0.0007682303937274738,0.0007558787976680722,-1.2360939431340531e-05,-0.0007682303937274738,h0h1,0.011448481402540114,9.330530318760542e-07,0.0,False,True,True,0.8,0.000112
case_007|Clusters + singles|h0,case_007,Clusters + singles,Clusters + singles,True,h0,True,1.0,0.809,0.000106114,0.00013116687268232384,0.809,0.8092210000000001,0.00010615392000000001,0.00013118038212058263,0.00013118038212058263,0.8092210000000001,0.000273176761433902,0.00037619918201193387,0.00010299428493282706,0.000273176761433902,0.00037619918201193387,h0,0.011453400461023906,9.819013344637019e-07,0.0,False,True,True,0.8,0.000104
case_007|Clusters + singles|h0h1,case_007,Clusters + singles,Clusters + singles,True,h0h1,True,1.0,0.809,0.000106114,0.00013116687268232384,0.809,0.8090670000000001,0.00010618704,0.0001312462873902903,0.0001312462873902903,0.8090670000000001,8.281829419040699e-05,0.0006883163390316098,0.0006054479026788045,8.281829419040699e-05,0.0006883163390316098,h0h1,0.01145627720467213,9.321742128768949e-07,0.0,False,True,True,0.8,0.000104
case_008|Random spaced|h0,case_008,Random spaced,Random spaced,True,h0,True,1.0,0.953,0.000142365,0.00014938614900314798,0.953,0.95298,0.0001423872,0.00014941257948750233,0.00014941257948750233,0.95298,2.0986358866641114e-05,0.0001559372036664975,0.00017692727559232818,-2.0986358866641114e-05,0.0001559372036664975,h0,0.012223443847275707,4.436798247312471e-08,0.0,False,True,True,0.95,0.000144
