eta,case_id,rep,rhat_signed,dhat_signed,alpha_signed
0.05,case_003,1,-0.02431614349775771,0.062217186180184986,0.08868992666144818
0.05,case_003,2,-0.016892376681614318,-0.11530439440449942,-0.10010299522518679
0.05,case_003,3,0.02851345291479828,0.05209584045818827,0.022928613599129594
0.05,case_003,4,0.009867713004484403,0.020935742392715114,0.01095988043354905
0.05,case_003,5,-0.0010089686098654841,0.09007931766208623,0.09118028431666592
0.05,case_003,6,0.00417040358744401,0.13443128206184718,0.12971989416242535
0.05,case_003,7,0.0008901345291480633,-0.19240857866869945,-0.1931268043607819
0.1,case_000,0,-0.020217861975642737,-0.09620108814837262,-0.07755114450845493
0.1,case_000,1,-0.025010825439783377,-0.046741925040988314,-0.02228855475344853
0.1,case_000,2,0.02156427604871456,0.19409768272433925,0.16889138620132915
0.1,case_000,3,-0.0006292286874153419,-0.09631637757286522,-0.0957473958936915
0.1,case_000,4,0.023543978349120507,0.33705656909533294,0.30630104556120646
0.1,case_000,5,0.07814208389715846,0.7544042857590407,0.6272477551543099
0.1,case_000,6,-0.01698782138024351,-0.04189976921229344,-0.025342461033421533
0.1,case_000,7,0.014062246278755167,-0.023799329566933616,-0.03733654022189186
0.1,case_001,0,0.03573708920187797,-0.007043338683788121,-0.04130433131310568
0.1,case_001,1,-0.0016784037558684641,-0.17417174959871592,-0.17278334605982582
0.1,case_001,2,0.0023884976525823005,-0.20529373996789718,-0.20718737107103158
0.1,case_001,3,-0.012433098591549122,-0.022327447833065825,-0.010018915404521442
0.1,case_001,4,-0.004118544600938819,-0.10251364365971109,-0.09880201958308808
0.1,case_001,5,-0.024362676056337927,-0.002391653290529637,0.022519661995912977
0.1,case_001,6,0.005551643192488277,0.3434943820224721,0.33607695946581323
0.1,case_001,7,0.026247652582159782,0.4988828250401286,0.46054689749473543
0.1,case_002,0,-0.04120216606498197,-0.1149932145118972,-0.07696205168097663
0.1,case_002,1,-0.018963898916967536,-0.3485931421333575,-0.3360011347721963
0.1,case_002,2,-0.020214801444043244,0.3784257667601555,0.40686526882803464
0.1,case_002,3,-0.005203971119133517,0.2340957206188364,0.24055151487403814
0.1,case_002,4,-0.040785198555956734,-0.11399439066316837,-0.07632200003273439
0.1,case_002,5,-0.023967509025270776,-0.16855514339998204,-0.14813813649821914
0.1,case_002,6,0.007583032490974747,0.042196688681805795,0.03435315509954372
0.1,case_002,7,0.021064981949458408,-0.007369944811363559,-0.02784830276573864
0.1,case_003,0,0.045432735426009035,0.3874649251117659,0.3271680502202568
0.1,case_003,1,-0.012921524663677046,0.2446288551474072,0.26092188842769604
0.1,case_003,2,0.01901793721973104,-0.279065493726694,-0.29252029827827186
0.1,case_003,3,0.009177130044843204,-0.245744658934053,-0.2526036127746658
0.1,case_003,4,0.04681390134529156,0.369041801438019,0.30781775029794967
0.1,case_003,5,0.02057174887892374,-0.13395496404952711,-0.15141190523664314
0.1,case_003,6,-0.014647982062780169,-0.19707122107995628,-0.18513509456150415
0.1,case_003,7,0.021780269058296088,-0.24267413832176193,-0.25881729701414885
0.15,case_000,0,0.05000947225981058,-0.003508390856211971,-0.05096893364289611
0.15,case_000,1,-0.04282814614343687,-0.22140540314748483,-0.18656760150702112
0.15,case_000,2,-0.002817320703653474,-0.24019757933980107,-0.23805092443407955
0.15,case_000,3,-0.009798376184032398,-0.039017533599974924,-0.029508290749251584
0.15,case_000,4,-0.011569688768606153,-0.32228364957862965,-0.31435090292094925
0.15,case_000,5,0.052197564276048714,-0.3739333117513759,-0.40499131579022285
0.15,case_000,6,-0.022093369418132437,-0.3960688812539814,-0.3824245588899714
0.15,case_000,7,0.023752368064952695,-0.14958009168850978,-0.16931092436063142
0.15,case_001,0,0.09285446009389679,0.6853932584269663,0.5421936954735576
0.15,case_001,1,0.08255164319248841,0.06395024077046552,-0.017182923825385863
0.15,case_001,2,0.02814553990610342,-0.2809390048154093,-0.3006233385496573
0.15,case_001,3,0.05173356807511741,-0.03008025682182974,-0.07778949667517296
0.15,case_001,4,-0.000503521126760448,-0.16852327447833065,-0.1681043974671963
0.15,case_001,5,0.09538497652582174,0.6853932584269663,0.5386309786468358
0.15,case_001,6,-0.009992957746478768,-0.34561958266452647,-0.33901438130588607
0.15,case_001,7,0.023084507042253673,-0.2759550561797752,-0.29229214318429564
0.15,case_002,0,0.20870036101083042,0.819781054917217,0.5055683886743797
0.15,case_002,1,0.06512454873646203,-0.07266805392201221,-0.12936759632658473
0.15,case_002,2,0.03621480144404322,-0.08552791097439627,-0.11748791104776914
0.15,case_002,3,0.039828519855595663,-0.344472993757351,-0.3695816245416272
0.15,case_002,4,0.10473646209386295,0.8999366687777072,0.7198098677549404
0.15,case_002,5,0.010501805054151605,-0.2909110648692663,-0.2982803874430146
0.15,case_002,6,0.0798574007220216,0.5444802316113271,0.4302631352793861
0.15,case_002,7,0.002996389891696741,-0.10325703428933325,-0.1059359986255816
0.15,case_003,0,-0.04848654708520168,-0.2656461814211252,-0.22822550082785714
0.15,case_003,1,0.11207399103139026,0.08234615463853814,-0.026731887115965226
0.15,case_003,2,0.09895291479820635,-0.3989295205916891,-0.45305165370194084
0.15,case_003,3,0.148847533632287,0.7305671727888914,0.5063506010387591
0.15,case_003,4,0.041807174887892366,0.33822287232946724,0.2845206911475455
0.15,case_003,5,0.08704035874439467,-0.22288633882033,-0.28511057116840716
0.15,case_003,6,-0.020517937219730862,-0.2759949731144029,-0.26082870284474435
0.15,case_003,7,0.10395964125560542,0.4908391190589012,0.3504471208415488
