mode,n_frames,ic_name,case_id,true_rhat,true_dhat,true_tau,true_alpha,estimated_rhat,estimated_dhat,estimated_tau,estimated_alpha,estimated_dhat_over_rhat,estimated_length_scale_ratio,rhat_relative_error,dhat_relative_error,alpha_relative_error
single_snapshot,1,One central cluster,case_003,0.446,9.7078e-05,0.446,0.00021766367713004482,0.4663400000000001,0.00011813232,0.4663400000000001,0.00025331800832010973,0.00025331800832010973,0.015915967087177258,0.04560538116591946,0.21688044665114653,0.16380469015398907
single_snapshot,1,One central cluster,case_004,0.919,0.000132925,0.919,0.00014464091403699672,0.9298030000000002,0.00015581184,0.9298030000000002,0.00016757510999641857,0.00016757510999641857,0.0129450805326355,0.011755168661588811,0.1721785969531692,0.15855953422387573
single_snapshot,1,One central cluster,case_005,0.593,0.000129431,0.593,0.0002182647554806071,0.602091,0.000168,0.602091,0.00027902758885284777,0.00027902758885284777,0.01670411891878311,0.015330522765598771,0.2979888898331929,0.2783904952425517
single_snapshot,1,One central cluster,case_006,0.712,0.000126296,0.712,0.00017738202247191012,0.6958770000000001,0.00010804176,0.6958770000000001,0.00015525985195659578,0.00015525985195659578,0.012460331133505071,0.022644662921348157,0.14453537720909607,0.12471483979622323
single_snapshot,1,One central cluster,case_007,0.809,0.000106114,0.809,0.00013116687268232384,0.804755,0.0001054032,0.804755,0.0001309755142869569,0.0001309755142869569,0.011444453428930405,0.005247218788628003,0.00669845637710387,0.0014588927177549337
single_snapshot,1,One central cluster,case_008,0.953,0.000142365,0.953,0.00014938614900314798,0.9514400000000001,0.000155856,0.9514400000000001,0.00016381064491717817,0.00016381064491717817,0.012798853265710102,0.0016369359916053462,0.09476346012011376,0.09655845612384199
single_snapshot,1,One central cluster,case_009,0.659,0.000117963,0.659,0.00017900303490136569,0.663845,0.00011464368,0.663845,0.00017269645775745845,0.00017269645775745845,0.013141402427346119,0.007352048558421833,0.028138653645634608,0.03523167720246918
single_snapshot,1,One central cluster,case_010,0.881,0.000147448,0.881,0.00016736435868331442,0.889378,0.000168,0.889378,0.00018889605994301635,0.00018889605994301635,0.013743946301663737,0.00950964812712826,0.13938473224458783,0.1286516521743082
single_snapshot,1,One central cluster,case_011,0.996,0.000128428,0.996,0.00012894377510040163,1.001875,0.00016461072,1.001875,0.0001643026525265128,0.0001643026525265128,0.012818059624081673,0.005898594377510115,0.28173544709876347,0.2742193440402927
single_snapshot,1,One central cluster,case_012,0.785,0.000148539,0.785,0.0001892216560509554,0.7802690000000001,0.00013857840000000001,0.7802690000000001,0.00017760336499335485,0.00017760336499335485,0.013326791248959925,0.006026751592356598,0.0670571365096034,0.06140043005686337
single_snapshot,1,One central cluster,case_013,0.761,0.000149902,0.761,0.00019698028909329827,0.766178,0.000168,0.766178,0.00021927019569864965,0.00021927019569864965,0.014807774839544584,0.006804204993429719,0.12073221171165163,0.11315805610780647
single_snapshot,1,One central cluster,case_014,0.675,0.000116995,0.675,0.0001733259259259259,0.665462,0.0001220736,0.665462,0.00018344187947621354,0.00018344187947621354,0.013544071746569181,0.014130370370370439,0.0434086926791744,0.0583637646604056
single_snapshot,1,One central cluster,case_015,0.64,0.000120253,0.64,0.0001878953125,0.6188770000000001,0.00011753616,0.6188770000000001,0.00018991844906176831,0.00018991844906176831,0.013781090271156645,0.03300468749999983,0.022592700390011034,0.01076736047775714
single_snapshot,1,Many clusters,case_000,0.739,9.5759e-05,0.739,0.00012957916102841678,0.7423850000000001,8.802624e-05,0.7423850000000001,0.00011857222330731359,0.00011857222330731359,0.010889087349604355,0.004580514208389827,0.0807523052663457,0.08494373349654091
single_snapshot,1,Many clusters,case_001,0.852,9.968e-05,0.852,0.00011699530516431924,0.849723,9.610751999999999e-05,0.849723,0.0001131045293583909,0.0001131045293583909,0.010635061323677964,0.0026725352112675744,0.03583948635634034,0.03325582851776637
single_snapshot,1,Many clusters,case_002,0.554,8.8424e-05,0.554,0.0001596101083032491,0.553042,8.544288000000001e-05,0.553042,0.0001544961865464106,0.0001544961865464106,0.01242964949410926,0.0017292418772563436,0.03371392382158689,0.03204008700452966
single_snapshot,1,Many clusters,case_003,0.446,9.7078e-05,0.446,0.00021766367713004482,0.44901500000000005,9.12168e-05,0.44901500000000005,0.0002031486698662628,0.0002031486698662628,0.01425302318339035,0.006760089686098756,0.06037619234017997,0.06668548218594099
single_snapshot,1,Many clusters,case_004,0.919,0.000132925,0.919,0.00014464091403699672,0.9227960000000001,0.00015038016,0.9227960000000001,0.00016296143459659554,0.00016296143459659554,0.012765634907696348,0.004130576713819392,0.13131585480534136,0.12666209060952655
single_snapshot,1,Many clusters,case_005,0.593,0.000129431,0.593,0.0002182647554806071,0.5919270000000001,0.00013097184,0.5919270000000001,0.00022126350039785306,0.00022126350039785306,0.01487492858463035,0.0018094435075883299,0.011904721434586716,0.013739024931638111
single_snapshot,1,Many clusters,case_006,0.712,0.000126296,0.712,0.00017738202247191012,0.710045,0.00014202288,0.710045,0.0002000195480568133,0.0002000195480568133,0.014142826735020595,0.0027457865168538332,0.12452397542281635,0.12762017970839187
single_snapshot,1,Many clusters,case_007,0.809,0.000106114,0.809,0.00013116687268232384,0.7982870000000001,0.00010344912,0.7982870000000001,0.00012958888219399787,0.00012958888219399787,0.01138371126627858,0.013242274412855342,0.02511336864127254,0.012030404141354622
single_snapshot,1,Many clusters,case_008,0.953,0.000142365,0.953,0.00014938614900314798,0.9525950000000001,0.00015233424,0.9525950000000001,0.00015991501110125498,0.00015991501110125498,0.012645750713233872,0.00042497376705128825,0.07002591929196073,0.0704808455694586
single_snapshot,1,Many clusters,case_009,0.659,0.000117963,0.659,0.00017900303490136569,0.664153,0.00010213536,0.664153,0.0001537828783427915,0.0001537828783427915,0.012400922479508993,0.007819423368740459,0.13417461407390455,0.14089234058221978
single_snapshot,1,Many clusters,case_010,0.881,0.000147448,0.881,0.00016736435868331442,0.891457,0.00015793152,0.891457,0.00017716111938096844,0.00017716111938096844,0.013310188555425068,0.011869466515323552,0.0710997775486951,0.05853552557263031
single_snapshot,1,Many clusters,case_011,0.996,0.000128428,0.996,0.00012894377510040163,0.999565,0.00011490864,0.999565,0.00011495864701144997,0.00011495864701144997,0.010721877028368212,0.0035793172690763457,0.10526801009125747,0.10845911776712126
single_snapshot,1,Many clusters,case_012,0.785,0.000148539,0.785,0.0001892216560509554,0.7886620000000001,0.00015794256,0.7886620000000001,0.000200266476640183,0.000200266476640183,0.014151553859565492,0.004664968152866311,0.06330701028012857,0.058369749106589305
single_snapshot,1,Many clusters,case_013,0.761,0.000149902,0.761,0.00019698028909329827,0.759479,0.000153924,0.759479,0.00020267051491877985,0.00020267051491877985,0.014236239493587478,0.001998685939553212,0.026830862830382586,0.028887285381058878
single_snapshot,1,Many clusters,case_014,0.675,0.000116995,0.675,0.0001733259259259259,0.67732,0.00011275584,0.67732,0.000166473513258135,0.000166473513258135,0.012902461519343315,0.00343703703703702,0.036233685200222195,0.03953483952954277
single_snapshot,1,Many clusters,case_015,0.64,0.000120253,0.64,0.0001878953125,0.6482140000000001,0.00010785408,0.6482140000000001,0.0001663865328425489,0.0001663865328425489,0.012899090388184311,0.012834375000000085,0.10310694951477298,0.11447214606511855
single_snapshot,1,Clusters + singles,case_000,0.739,9.5759e-05,0.739,0.00012957916102841678,0.733684,0.00010343808,0.733684,0.0001409845110429013,0.0001409845110429013,0.011873689866376892,0.007193504736129889,0.08019173132551506,0.0880183968160075
single_snapshot,1,Clusters + singles,case_001,0.852,9.968e-05,0.852,0.00011699530516431924,0.8561140000000002,0.00010020336,0.8561140000000002,0.00011704441230957557,0.00011704441230957557,0.010818706591343328,0.004828638497652785,0.0052504012841092145,0.0004197360328891772
single_snapshot,1,Clusters + singles,case_002,0.554,8.8424e-05,0.554,0.0001596101083032491,0.553966,8.882112e-05,0.553966,0.00016033677157081846,0.00016033677157081846,0.012662415708340114,6.137184115539622e-05,0.0044910883922916625,0.0045527396434613355
single_snapshot,1,Clusters + singles,case_003,0.446,9.7078e-05,0.446,0.00021766367713004482,0.4494,9.851424e-05,0.4494,0.0002192128170894526,0.0002192128170894526,0.014805837264047331,0.007623318385650256,0.014794701168132923,0.007117126659962783
single_snapshot,1,Clusters + singles,case_004,0.919,0.000132925,0.919,0.00014464091403699672,0.9227190000000001,0.00013473648,0.9227190000000001,0.00014602113969691748,0.00014602113969691748,0.012083920708814564,0.004046789989118637,0.013627835245439208,0.00954242904996932
single_snapshot,1,Clusters + singles,case_005,0.593,0.000129431,0.593,0.0002182647554806071,0.593467,0.00013108224000000002,0.593467,0.0002208753645948301,0.0002208753645948301,0.014861876213817356,0.0007875210792580021,0.012757685562191581,0.011960745144009011
single_snapshot,1,Clusters + singles,case_006,0.712,0.000126296,0.712,0.00017738202247191012,0.7065800000000001,0.00013181088,0.7065800000000001,0.00018654770868125334,0.00018654770868125334,0.013658246910978486,0.0076123595505616145,0.04366630772154311,0.05167201321540172
single_snapshot,1,Clusters + singles,case_007,0.809,0.000106114,0.809,0.00013116687268232384,0.8078350000000001,0.0001093224,0.8078350000000001,0.00013532763497496394,0.00013532763497496394,0.011633040659043702,0.0014400494437576904,0.03023540720357353,0.03172113665252318
single_snapshot,1,Clusters + singles,case_008,0.953,0.000142365,0.953,0.00014938614900314798,0.961373,0.00014265216,0.961373,0.00014838378028091074,0.00014838378028091074,0.012181288120757621,0.008785939139559365,0.002017068802022994,0.006709917411527294
single_snapshot,1,Clusters + singles,case_009,0.659,0.000117963,0.659,0.00017900303490136569,0.6619970000000001,0.00012061632000000001,0.6619970000000001,0.00018220070483703098,0.00018220070483703098,0.013498174129749215,0.004547799696509905,0.022492815543857077,0.017863774976928613
single_snapshot,1,Clusters + singles,case_010,0.881,0.000147448,0.881,0.00016736435868331442,0.8794450000000001,0.00014367888,0.8794450000000001,0.00016337449186702976,0.00016337449186702976,0.012781803153977523,0.0017650397275821362,0.02556236774998638,0.023839405520229423
single_snapshot,1,Clusters + singles,case_011,0.996,0.000128428,0.996,0.00012894377510040163,0.996639,0.00012056112,0.996639,0.00012096769241420413,0.00012096769241420413,0.010998531375333897,0.0006415662650602974,0.06125517799856741,0.06185705886140642
single_snapshot,1,Clusters + singles,case_012,0.785,0.000148539,0.785,0.0001892216560509554,0.782733,0.0001486248,0.782733,0.0001898793075033249,0.0001898793075033249,0.013779670079625451,0.0028878980891719986,0.0005776260779997977,0.0034755612338177536
single_snapshot,1,Clusters + singles,case_013,0.761,0.000149902,0.761,0.00019698028909329827,0.7610190000000001,0.00014588688,0.7610190000000001,0.00019169939252502234,0.00019169939252502234,0.013845554973529314,2.496714848896487e-05,0.026784966177902828,0.026809263975517195
single_snapshot,1,Clusters + singles,case_014,0.675,0.000116995,0.675,0.0001733259259259259,0.6723920000000001,0.00011867328000000001,0.6723920000000001,0.0001764941879141929,0.0001764941879141929,0.013285111513050724,0.00386370370370362,0.014344886533612655,0.018279215710758787
single_snapshot,1,Clusters + singles,case_015,0.64,0.000120253,0.64,0.0001878953125,0.649138,0.00012094752,0.649138,0.0001863201969380933,0.0001863201969380933,0.013649915638497306,0.014278124999999968,0.005775490008565271,0.008382942293500239
multi_frame,3,Random spaced,case_000,0.739,9.5759e-05,0.739,0.00012957916102841678,0.7389970000000001,9.752063999999999e-05,0.7389970000000001,0.0001319635127070881,0.0001319635127070881,0.011487537277723546,4.05953991862547e-06,0.018396599797407966,0.018400734035841033
multi_frame,3,Random spaced,case_001,0.852,9.968e-05,0.852,0.00011699530516431924,0.851109,9.997152e-05,0.851109,0.00011746030179448226,0.00011746030179448226,0.010837910397972585,0.0010457746478872948,0.00292455858748004,0.003974489655887725
multi_frame,3,Random spaced,case_002,0.554,8.8424e-05,0.554,0.0001596101083032491,0.554659,8.80704e-05,0.554659,0.00015878296394721803,0.00015878296394721803,0.012600911234796395,0.0011895306859205147,0.003998914321903587,0.005182280526115245
multi_frame,3,Random spaced,case_003,0.446,9.7078e-05,0.446,0.00021766367713004482,0.44709000000000004,9.932016e-05,0.44709000000000004,0.0002221480238878078,0.0002221480238878078,0.014904630954431841,0.0024439461883408865,0.02309647911988306,0.020602182306622426
multi_frame,3,Random spaced,case_004,0.919,0.000132925,0.919,0.00014464091403699672,0.9198700000000001,0.00013196544,0.9198700000000001,0.00014346096731059822,0.00014346096731059822,0.01197751924693082,0.000946681175190465,0.007218807598269605,0.008157765969984734
multi_frame,3,Random spaced,case_005,0.593,0.000129431,0.593,0.0002182647554806071,0.5930820000000001,0.00013049712,0.5930820000000001,0.00022003217093083245,0.00022003217093083245,0.014833481416404998,0.00013827993254660628,0.008236975685886593,0.008097576021073985
multi_frame,3,Random spaced,case_006,0.712,0.000126296,0.712,0.00017738202247191012,0.711508,0.000123564,0.711508,0.00017366494825075753,0.00017366494825075753,0.013178199734818012,0.0006910112359549676,0.021631722303160832,0.02095519133987332
multi_frame,3,Random spaced,case_007,0.809,0.000106114,0.809,0.00013116687268232384,0.808297,0.0001060656,0.808297,0.00013122107344206398,0.00013122107344206398,0.011455176709333818,0.0008689740420272054,0.00045611323670767014,0.0004132198826712217
multi_frame,3,Random spaced,case_008,0.953,0.000142365,0.953,0.00014938614900314798,0.9524410000000001,0.0001434912,0.9524410000000001,0.0001506562611227362,0.0001506562611227362,0.01227421122201896,0.0005865687303251471,0.007910652196817962,0.00850220805652769
multi_frame,3,Random spaced,case_009,0.659,0.000117963,0.659,0.00017900303490136569,0.6592250000000001,0.00011454432,0.6592250000000001,0.0001737560317038947,0.0001737560317038947,0.013181655120048267,0.00034142640364192824,0.028980951654332236,0.029312370040888932
multi_frame,3,Random spaced,case_010,0.881,0.000147448,0.881,0.00016736435868331442,0.8812160000000001,0.0001483488,0.8812160000000001,0.000168345558864115,0.000168345558864115,0.012974804771714872,0.0002451759364359875,0.006109272421463814,0.005862659102092389
multi_frame,3,Random spaced,case_011,0.996,0.000128428,0.996,0.00012894377510040163,0.9960230000000001,0.00012854304,0.9960230000000001,0.00012905629689274244,0.00012905629689274244,0.011360294753779166,2.3092369478018342e-05,0.0008957548198212029,0.0008726422989647585
multi_frame,3,Random spaced,case_012,0.785,0.000148539,0.785,0.0001892216560509554,0.7846580000000001,0.00014844816,0.7846580000000001,0.00018918835976947917,0.00018918835976947917,0.01375457595745791,0.00043566878980885786,0.0006115565609030965,0.00017596443330594375
multi_frame,3,Random spaced,case_013,0.761,0.000149902,0.761,0.00019698028909329827,0.760634,0.00014933136,0.760634,0.0001963248553180636,0.0001963248553180636,0.014011597172273531,0.0004809461235216524,0.003806753745780534,0.0033274079262022825
multi_frame,3,Random spaced,case_014,0.675,0.000116995,0.675,0.0001733259259259259,0.6750100000000001,0.0001158912,0.6750100000000001,0.00017168812313891644,0.00017168812313891644,0.013102981459916535,1.4814814814911868e-05,0.00943459122184704,0.009449266047535322
multi_frame,3,Random spaced,case_015,0.64,0.000120253,0.64,0.0001878953125,0.6401290000000001,0.00012111312000000001,0.6401290000000001,0.00018920111415042905,0.00018920111415042905,0.013755039591016417,0.00020156250000007148,0.007152586629855474,0.006949623346399686
multi_frame,3,One central cluster,case_000,0.739,9.5759e-05,0.739,0.00012957916102841678,0.7437710000000001,8.877696e-05,0.7437710000000001,0.00011936060965001323,0.00011936060965001323,0.010925228128053585,0.006456021650879677,0.07291262440083958,0.07885952723650229
multi_frame,3,One central cluster,case_001,0.852,9.968e-05,0.852,0.00011699530516431924,0.8545740000000001,0.00010785408,0.8545740000000001,0.0001262080053921603,0.0001262080053921603,0.011234233636174757,0.0030211267605634697,0.08200321027287333,0.07874418734069596
multi_frame,3,One central cluster,case_002,0.554,8.8424e-05,0.554,0.0001596101083032491,0.554659,8.273808e-05,0.554659,0.00014916927337336994,0.00014916927337336994,0.012213487355107465,0.0011895306859205147,0.06430290418890806,0.06541462217444419
multi_frame,3,One central cluster,case_003,0.446,9.7078e-05,0.446,0.00021766367713004482,0.44693600000000006,0.00010467456,0.44693600000000006,0.00023420480784720854,0.00023420480784720854,0.015303751430522143,0.002098654708520287,0.07825212715548335,0.07599398730768066
multi_frame,3,One central cluster,case_004,0.919,0.000132925,0.919,0.00014464091403699672,0.9224110000000001,0.00014958528,0.9224110000000001,0.00016216771048914203,0.00016216771048914203,0.012734508647338617,0.003711643090315618,0.1253359413202935,0.12117454158000028
multi_frame,3,One central cluster,case_005,0.593,0.000129431,0.593,0.0002182647554806071,0.592543,0.00012457968,0.592543,0.0002102458049458014,0.0002102458049458014,0.014499855342237088,0.0007706576728497972,0.03748190155372355,0.03673955750276037
multi_frame,3,One central cluster,case_006,0.712,0.000126296,0.712,0.00017738202247191012,0.705964,0.00011822064000000001,0.705964,0.00016745987047498174,0.00016745987047498174,0.012940628673869818,0.008477528089887543,0.06393995059225939,0.05593662682755596
multi_frame,3,One central cluster,case_007,0.809,0.000106114,0.809,0.00013116687268232384,0.8060640000000001,0.00010563504,0.8060640000000001,0.00013105043768236763,0.00013105043768236763,0.011447726310598434,0.0036291718170580202,0.004513636277965117,0.0008876860260151348
multi_frame,3,One central cluster,case_008,0.953,0.000142365,0.953,0.00014938614900314798,0.9536730000000001,0.00013888752,0.9536730000000001,0.00014563432119814654,0.00014563432119814654,0.012067904590199019,0.0007061909758658403,0.024426509324623327,0.02511496433931353
multi_frame,3,One central cluster,case_009,0.659,0.000117963,0.659,0.00017900303490136569,0.6547590000000001,0.00011631072,0.6547590000000001,0.00017763897861655965,0.00017763897861655965,0.013328127348452207,0.006435508345978664,0.014006764833040837,0.007620296971823176
multi_frame,3,One central cluster,case_010,0.881,0.000147448,0.881,0.00016736435868331442,0.8865290000000001,0.00015015936,0.8865290000000001,0.0001693789599663406,0.0001693789599663406,0.01301456722163056,0.0062758229284904845,0.018388584450111177,0.012037218072446367
multi_frame,3,One central cluster,case_011,0.996,0.000128428,0.996,0.00012894377510040163,0.9895550000000001,0.00012530832,0.9895550000000001,0.0001266309805922864,0.0001266309805922864,0.01125304317028449,0.006470883534136469,0.024291276045722236,0.017936457237384077
multi_frame,3,One central cluster,case_012,0.785,0.000148539,0.785,0.0001892216560509554,0.7819630000000001,0.00014015712,0.7819630000000001,0.00017923753425673592,0.00017923753425673592,0.013387962289188595,0.0038687898089171417,0.0564288166744087,0.05276416031117949
multi_frame,3,One central cluster,case_013,0.761,0.000149902,0.761,0.00019698028909329827,0.7560140000000001,0.00015537024000000001,0.7560140000000001,0.00020551238469128879,0.00020551238469128879,0.014335703146036778,0.006551905387647747,0.036478766127203285,0.04331446378347712
multi_frame,3,One central cluster,case_014,0.675,0.000116995,0.675,0.0001733259259259259,0.6713910000000001,0.00012669936,0.6713910000000001,0.00018871173429491905,0.00018871173429491905,0.013737238961848157,0.005346666666666627,0.08294679259797426,0.08876807255925782
multi_frame,3,One central cluster,case_015,0.64,0.000120253,0.64,0.0001878953125,0.633661,0.00011459951999999999,0.633661,0.00018085304287308195,0.00018085304287308195,0.013448161319417683,0.009904687499999974,0.04701321380755586,0.037479751534078495
multi_frame,3,Many clusters,case_000,0.739,9.5759e-05,0.739,0.00012957916102841678,0.7408450000000001,9.374496e-05,0.7408450000000001,0.00012653788579257468,0.00012653788579257468,0.011248905982031083,0.0024966170500677898,0.021032383379107976,0.023470403818829737
multi_frame,3,Many clusters,case_001,0.852,9.968e-05,0.852,0.00011699530516431924,0.849184,0.00010034688,0.849184,0.00011816859479217695,0.00011816859479217695,0.010870537925612373,0.003305164319248744,0.006690208667736799,0.01002851888979499
multi_frame,3,Many clusters,case_002,0.554,8.8424e-05,0.554,0.0001596101083032491,0.5575080000000001,7.981248e-05,0.5575080000000001,0.0001431593447986396,0.0001431593447986396,0.011964921428853581,0.006332129963899037,0.09738894417805134,0.10306843143890412
multi_frame,3,Many clusters,case_003,0.446,9.7078e-05,0.446,0.00021766367713004482,0.44770600000000005,9.440736e-05,0.44770600000000005,0.00021086909713070629,0.00021086909713070629,0.01452133248468288,0.00382511210762341,0.027510249490100648,0.031215957062413577
multi_frame,3,Many clusters,case_004,0.919,0.000132925,0.919,0.00014464091403699672,0.9237200000000001,0.00013282656,0.9237200000000001,0.0001437952626336985,0.0001437952626336985,0.011991466242028058,0.005136017410228571,0.000740567989467758,0.005846557379206763
multi_frame,3,Many clusters,case_005,0.593,0.000129431,0.593,0.0002182647554806071,0.5906180000000001,0.00013060752,0.5906180000000001,0.00022113704628033682,0.00022113704628033682,0.014870677398166393,0.004016863406407899,0.009089939813491248,0.013159663791825127
multi_frame,3,Many clusters,case_006,0.712,0.000126296,0.712,0.00017738202247191012,0.7043470000000001,0.00012948144,0.7043470000000001,0.00018383188967937677,0.00018383188967937677,0.013558461921596298,0.010748595505617851,0.025222018116171595,0.03636144811962576
multi_frame,3,Many clusters,case_007,0.809,0.000106114,0.809,0.00013116687268232384,0.800058,0.00010712543999999999,0.800058,0.00013389709246079657,0.00013389709246079657,0.011571391120379458,0.011053152039555012,0.009531635787926174,0.02081485761336338
multi_frame,3,Many clusters,case_008,0.953,0.000142365,0.953,0.00014938614900314798,0.9582160000000001,0.00013484688,0.9582160000000001,0.00014072701770790719,0.00014072701770790719,0.011862841890032387,0.005473242392445026,0.052808766199557565,0.057964753446173384
multi_frame,3,Many clusters,case_009,0.659,0.000117963,0.659,0.00017900303490136569,0.6578390000000001,0.00011847455999999999,0.6578390000000001,0.0001800965889830186,0.0001800965889830186,0.013420007041094226,0.0017617602427920601,0.004336614023041073,0.006109137100694949
multi_frame,3,Many clusters,case_010,0.881,0.000147448,0.881,0.00016736435868331442,0.8816010000000001,0.00014880144,0.8816010000000001,0.00016878547097836776,0.00016878547097836776,0.012991746263623215,0.0006821793416572913,0.009179100428625702,0.008491128614440301
multi_frame,3,Many clusters,case_011,0.996,0.000128428,0.996,0.00012894377510040163,0.9945600000000001,0.00012731760000000002,0.9945600000000001,0.00012801399613899614,0.00012801399613899614,0.011314327029876595,0.0014457831325300058,0.008646089637773658,0.007210731659450163
multi_frame,3,Many clusters,case_012,0.785,0.000148539,0.785,0.0001892216560509554,0.7889700000000001,0.00014196768,0.7889700000000001,0.0001799405300581771,0.0001799405300581771,0.013414191368031734,0.005057324840764368,0.04423969462565385,0.0490489629277897
multi_frame,3,Many clusters,case_013,0.761,0.000149902,0.761,0.00019698028909329827,0.755244,0.00015460848000000001,0.755244,0.00020471328471328472,0.00020471328471328472,0.014307805027791115,0.007563731931668835,0.031397046070099306,0.03925771281777222
multi_frame,3,Many clusters,case_014,0.675,0.000116995,0.675,0.0001733259259259259,0.673624,0.00011709456,0.673624,0.0001738277733572438,0.0001738277733572438,0.013184376108001614,0.0020385185185185836,0.0008509765374588551,0.0028953973771491974
multi_frame,3,Many clusters,case_015,0.64,0.000120253,0.64,0.0001878953125,0.642439,0.00011503008,0.642439,0.0001790521434719872,0.0001790521434719872,0.013381036711405706,0.0038109374999999515,0.04343276259220151,0.047064340830816495
