eta,case_id,rep,rhat_signed,dhat_signed,alpha_signed
0.05,case_001,0,-0.01785563380281681,-0.014463884430176575,0.003453412236912707
0.05,case_001,1,0.0004002347417842098,0.021642054574638903,0.02123332151989893
0.05,case_001,2,-0.013879107981220497,-0.10129534510433377,-0.08864657247465405
0.05,case_001,3,0.0018462441314554539,-0.011584269662921271,-0.013405763482219942
0.05,case_001,4,0.015673708920187896,0.10647993579454267,0.08940492017942972
0.05,case_001,5,0.019107981220657363,0.03338202247191011,0.014006407087652972
0.05,case_001,6,-0.004751173708920118,-0.015571428571428562,-0.010871909191625471
0.05,case_001,7,-0.0014976525821594282,-0.05056982343499192,-0.049145774148388
0.05,case_002,0,-0.021882671480144392,-0.04657378087397094,-0.025243504714501503
0.05,case_002,1,0.021481949458483644,0.04906360264181669,0.027001606046934887
0.05,case_002,2,0.0017454873646208305,-0.06829819958382356,-0.06992163960999159
0.05,case_002,3,-0.0057599277978338335,-0.07466570161946988,-0.06930496541847789
0.05,case_002,4,0.0028574007220216625,0.12447480322084495,0.12127088299020683
0.05,case_002,5,0.011891696750902596,-0.0383334841219579,-0.049634937250823664
0.05,case_002,6,0.023149819494584792,-0.15819234596942022,-0.1772391120135118
0.05,case_002,7,0.0138375451263537,-0.09177056002895148,-0.10416669382878628
0.05,case_003,0,-0.016719730941704015,0.06164857125198307,0.07970087945397472
0.05,case_003,1,-0.025352017937219633,0.021390634335276756,0.047958496947347745
0.05,case_003,2,-0.03916367713004474,-0.09631265580255038,-0.05947837036573029
0.05,case_003,3,0.009695067264574104,0.06119367930942143,0.05100412363543124
0.05,case_003,4,-0.001181614349775784,0.0609662333381406,0.062221369350804065
0.05,case_003,5,0.018327354260089843,0.03628834545417101,0.017637738119223534
0.05,case_003,6,0.014183856502242149,0.07472671460063046,0.059696136662233036
0.05,case_003,7,0.024715246636771437,-0.22220400090648754,-0.24096376857246454
0.1,case_000,0,-0.04126522327469545,-0.030486116187512388,0.011243054230285215
0.1,case_000,1,-0.0024005412719890966,0.21761672532085746,0.22054669804390184
0.1,case_000,2,0.0570947225981056,0.03499827692436209,-0.020902994974220844
0.1,case_000,3,0.01437483085250345,-0.0812134629643168,-0.09423370031419812
0.1,case_000,4,0.093979702300406,-0.08317338318069314,-0.16193452685509976
0.1,case_000,5,0.0839769959404602,0.30858008124562697,0.20720281532386275
0.1,case_000,6,-0.06147902571041941,0.045835482826679465,0.11434428369417243
0.1,case_000,7,-0.007297699594045833,-0.04466671540011908,-0.037643728427738776
0.1,case_001,0,0.07242957746478891,-0.06053772070626008,-0.12398697403085626
0.1,case_001,1,-0.0018591549295773695,-0.09531460674157304,-0.09362952360235499
0.1,case_001,2,-0.02219366197183093,-0.10517174959871586,-0.08486147450651364
0.1,case_001,3,0.0030211267605634697,-0.016346709470304956,-0.0193094997843368
0.1,case_001,4,-0.0009553990610328421,-0.09476083467094691,-0.09389514294131569
0.1,case_001,5,-0.047860328638497464,-0.01490690208667737,0.03460986611838016
0.1,case_001,6,0.023807511737089296,0.18234670947030504,0.15485254397501264
0.1,case_001,7,0.042153755868544765,-0.07504654895666125,-0.11245970584017113
0.1,case_002,0,-0.0555180505415163,-0.09464217859404704,-0.041423902357226115
0.1,case_002,1,-0.04300902527075819,-0.182663530263277,-0.14593084854539076
0.1,case_002,2,0.03621480144404322,0.2958979462589342,0.2506074459204818
0.1,case_002,3,-0.005064981949458639,0.11436171175246534,0.12003466712421743
0.1,case_002,4,0.04177436823104697,-0.037209807292137964,-0.07581696952028258
0.1,case_002,5,-0.020075812274368166,-0.24733737446847012,-0.23191749427225358
0.1,case_002,6,0.09417328519855594,-0.13247263186465214,-0.20713896064651172
0.1,case_002,7,0.0462220216606497,-0.07191893603546559,-0.11292149777978502
0.1,case_003,0,-0.02103587443946176,0.06187601722326389,0.0846934933547761
0.1,case_003,1,0.06943049327354271,0.1918613898102557,0.11448233177076356
0.1,case_003,2,0.0361098654708521,-0.25723068048373465,-0.28311722118511085
0.1,case_003,3,0.015047085201793773,-0.09267352026205723,-0.10612375232074667
0.1,case_003,4,0.0970538116591928,0.16911679268217308,0.06568773587686803
0.1,case_003,5,0.058035874439461926,-0.14430375574280463,-0.19124080295430843
0.1,case_003,6,-0.01965470852017936,-0.09688127073075258,-0.07877485910500012
0.1,case_003,7,0.01211210762331855,-0.09005789159232779,-0.10094731447839894
0.15,case_000,0,0.012082543978349224,0.2180778830188284,0.2035361050994334
0.15,case_000,1,0.05949120433017592,0.14429265134347688,0.08003978387617995
0.15,case_000,2,0.06782679296346422,-0.022531145897513673,-0.0846185350062381
0.15,case_000,3,0.047717185385656356,0.22061425035766874,0.1650226486533867
0.15,case_000,4,0.015416779431664543,-0.3150204158355874,-0.3254202628522643
0.15,case_000,5,0.07095263870094735,-0.25253354776052384,-0.3020546145288517
0.15,case_000,6,-0.014487144790257095,-0.3446497979302207,-0.3350160795920784
0.15,case_000,7,0.07324492557510158,-0.23869881682139538,-0.2906547563962074
0.15,case_001,0,0.12999882629107987,0.08576886035313008,-0.03914160343256534
0.15,case_001,1,0.08833568075117378,0.06494703049759244,-0.02149029078734086
0.15,case_001,2,0.023807511737089296,-0.08357463884430169,-0.10488509739413433
0.15,case_001,3,0.062397887323943746,-0.005825040128410799,-0.06421598561740383
0.15,case_001,4,0.004196009389671486,-0.018672552166934128,-0.02277300581039411
0.15,case_001,5,0.10388028169014095,0.18733065810593913,0.07559730688189123
0.15,case_001,6,0.02787441314554006,-0.24040288924558587,-0.2610020241384681
0.15,case_001,7,0.03429107981220673,-0.2232359550561798,-0.24898893541182332
0.15,case_002,0,0.1829873646209386,0.40901474712747654,0.1910649168928049
0.15,case_002,1,0.0925054151624548,-0.1328471908079256,-0.20627138579159415
0.15,case_002,2,0.021342960288808766,0.09351126391025046,0.07066020565808209
0.15,case_002,3,0.08666787003610107,-0.21887089477969787,-0.2811703311018558
0.15,case_002,4,0.11224187725631761,0.18440423414457596,0.06488009340762162
0.15,case_002,5,0.08708483754512651,-0.3485931421333575,-0.40077642942968417
0.15,case_002,6,0.08472202166064977,0.39428209535872594,0.28538193888988866
0.15,case_002,7,0.17756678700361012,0.1491956934768839,-0.024092980406587566
0.15,case_003,0,0.06079820627802697,-0.21049053338552492,-0.25574019456104663
0.15,case_003,1,0.20081390134529148,-0.008291064916870918,-0.1741360305938319
0.15,case_003,2,0.09118385650224224,-0.26268938379447454,-0.3243021221291222
0.15,case_003,3,0.1075852017937221,0.034582500669564704,-0.06591158947043554
0.15,case_003,4,0.08134304932735427,0.16763839386884774,0.07980385558049612
0.15,case_003,5,0.1811322869955158,-0.17284822513854833,-0.299695907081243
0.15,case_003,6,0.03093049327354273,-0.25723068048373465,-0.2795156178204324
0.15,case_003,7,0.2403497757847534,0.09462823708770281,-0.11748423028887506
