PDE,Initial condition,S1,S2
R+FracDiff+Sixth,Many clusters,0.025590013339472174,0.0034883503243447736
R+FracDiff+Sixth,One central cluster,47.93371478769278,32.1385122802114
R+FracDiff+Sixth,Random smooth,1.1374851268788051e-05,2.1740759519303765e-06
R+Hyper,Clusters + singles,5.254547702931561e-11,3.1297185697754824e-11
R+Hyper,Many clusters,1.321306280579812e-07,6.902570395521497e-08
R+Hyper,One central cluster,2.4212169245501403,1.6659139755924457
R+Hyper,Random smooth,4.621804149652374e-11,1.705415104862158e-11
R+Hyper+Disp,Clusters + singles,5.98987690217165e-12,1.2092578699069305e-11
R+Hyper+Disp,Many clusters,1.120816756875561e-08,4.5228189204766956e-08
R+Hyper+Disp,One central cluster,0.8111622442542024,1.0034632167073463
R+Hyper+Disp,Random smooth,1.7639011892137763e-11,4.075520748231681e-11
R+Hyper+FracDiff,Clusters + singles,3.392287364668789e-06,2.0130065586152148e-07
R+Hyper+FracDiff,Many clusters,0.001708199880001409,0.00148525753640831
R+Hyper+FracDiff,One central cluster,72.70622135791383,41.341989994802155
R+Hyper+FracDiff,Random smooth,3.5792443521316386e-06,1.3908959753360743e-06
R+Hyper+Loss,Clusters + singles,1.1797027710258589e-10,6.646952341624355e-11
R+Hyper+Loss,Many clusters,2.0727028896219381e-07,1.0884568885198102e-07
R+Hyper+Loss,One central cluster,3.6429467388276837,2.815498604631598
R+Hyper+Loss,Random smooth,3.607992127285797e-11,2.48023093421226e-11
R+Hyper+Nonlocal,Clusters + singles,7.776633559331003e-10,2.0082547047550747e-10
R+Hyper+Nonlocal,Many clusters,1.1822664842453533e-06,1.7763327881503698e-07
R+Hyper+Nonlocal,One central cluster,59.3314751852256,57.13777772039934
R+Hyper+Nonlocal,Random smooth,4.491383696070272e-10,8.791485228698547e-11
R+Hyper+SH,Clusters + singles,9.330624060349083e-09,4.41288144685124e-10
R+Hyper+SH,Many clusters,2.0321094167165714e-05,4.854497862280286e-06
R+Hyper+SH,One central cluster,44.95627545682535,33.522986774392244
R+Hyper+SH,Random smooth,2.906648292120119e-09,8.522989476712474e-10
R+Hyper+Sixth,Clusters + singles,3.957650973461569e-06,1.0176160809351131e-05
R+Hyper+Sixth,Many clusters,0.09291003830361297,0.005587677375602652
R+Hyper+Sixth,One central cluster,39.92799516806602,42.00930203719911
R+Hyper+Sixth,Random smooth,1.3493058766471222e-05,5.74179542309139e-06
R+KSlin,Clusters + singles,8.731149137020111e-13,2.9103830456733704e-13
R+KSlin,Many clusters,3.9050549579163395e-09,3.396669247498115e-09
R+KSlin,One central cluster,0.0465671570400591,0.04881009846415448
R+KSlin,Random smooth,4.800110926023788e-13,1.010549668636587e-12
R+Loss,Clusters + singles,9.74529099393193e-13,9.86864910777917e-13
R+Loss,Many clusters,9.726787276854844e-11,9.213617523250327e-11
R+Loss,One central cluster,0.003234232928028824,0.003259680593016413
R+Loss,Random smooth,7.031412489292658e-13,7.154770603139898e-13
R+Loss+Nonlocal,Clusters + singles,8.326672684688674e-13,8.049116928532385e-13
R+Loss+Nonlocal,Many clusters,1.9038937093540653e-10,1.5365486660812167e-10
R+Loss+Nonlocal,One central cluster,0.015662014710607353,0.01471182917957281
R+Loss+Nonlocal,Random smooth,1.3877787807814457e-13,6.938893903907228e-14
R+Mixed,Clusters + singles,1.3228709576651453e-09,1.370572135783732e-09
R+Mixed,Many clusters,2.7533292268344666e-08,7.123697969291243e-08
R+Mixed,One central cluster,6.276555749526892,1.3693503880941307
R+Mixed,Random smooth,1.4076213119551539e-09,1.3301614671945572e-09
R+Nonlocal,Clusters + singles,4.163336342344337e-13,4.270088556250602e-13
R+Nonlocal,Many clusters,2.0337898032352086e-10,1.9777235404916382e-10
R+Nonlocal,One central cluster,0.01600657983766296,0.012684075488864077
R+Nonlocal,Random smooth,1.105288700071267e-13,1.2631870857957337e-13
R+SH,Clusters + singles,1.808654236480255e-13,1.647167251080232e-13
R+SH,Many clusters,3.219662920111494e-10,2.517541730640005e-10
R+SH,One central cluster,0.005069846244105265,0.004706935775068321
R+SH,Random smooth,4.844609562000683e-14,5.975018459800843e-14
R+SH+Disp,Clusters + singles,1.9297694755302722e-13,1.8248029350202572e-13
R+SH+Disp,Many clusters,1.3813596731117947e-11,3.0701098229325325e-11
R+SH+Disp,One central cluster,0.00021736744607249068,0.0008988473752607523
R+SH+Disp,Random smooth,5.3290705182007514e-14,6.863196879500968e-14
R+SH+FracDiff,Clusters + singles,2.4347042900293063e-09,1.0280597921785032e-10
R+SH+FracDiff,Many clusters,3.659474681801574e-06,1.2239861021020224e-06
R+SH+FracDiff,One central cluster,70.14164673318732,73.62174495916777
R+SH+FracDiff,Random smooth,8.765492035915184e-09,4.850819005734289e-09
R+SH+Loss,Clusters + singles,3.083632435495673e-13,2.443451886231297e-13
R+SH+Loss,Many clusters,3.1865765437599636e-10,2.2565845296259037e-10
R+SH+Loss,One central cluster,0.006305514644023313,0.005206730870492001
R+SH+Loss,Random smooth,5.6520444890007966e-14,6.651725827191415e-14
R+SH+Nonlocal,Clusters + singles,2.8746449665106866e-12,1.954547634852588e-12
R+SH+Nonlocal,Many clusters,5.202820674288233e-09,4.097519545886996e-09
R+SH+Nonlocal,One central cluster,0.10233428231689248,0.05046136486814757
R+SH+Nonlocal,Random smooth,8.787162916493426e-13,8.509607160337137e-13
R+SH+Sixth,Clusters + singles,1.696652838425259e-07,5.968693014582724e-08
R+SH+Sixth,Many clusters,0.00027600964098504414,7.831204806246268e-05
R+SH+Sixth,One central cluster,18.874358804595285,19.432170533976663
R+SH+Sixth,Random smooth,4.721876223356958e-08,1.0791254758466741e-08
R+Sixth,Clusters + singles,4.787187563911525e-10,1.4589074689516005e-10
R+Sixth,Many clusters,7.369066521752861e-07,6.134982256698698e-07
R+Sixth,One central cluster,9.96222100876312,6.684720964770596
R+Sixth,Random smooth,8.619899894641164e-10,3.5589545232229424e-10
R+Sixth+Loss,Clusters + singles,1.0637956092157057e-09,1.4039100180853994e-10
R+Sixth+Loss,Many clusters,5.749922194475863e-07,1.484748957830738e-07
R+Sixth+Loss,One central cluster,12.802627473360722,10.152687434377977
R+Sixth+Loss,Random smooth,2.772944533388808e-10,1.762837698827803e-10
R+Sixth+Nonlocal,Clusters + singles,3.2127890416511206e-09,1.7147077181967063e-09
R+Sixth+Nonlocal,Many clusters,5.353874266719192e-06,2.6311891866913227e-06
R+Sixth+Nonlocal,One central cluster,62.4211702587981,60.06780763326006
R+Sixth+Nonlocal,Random smooth,3.6700653072507804e-09,1.9323127422232743e-09
